urdu,roman-urdu
رویت قلبی,ruuyat-e-qalbii
غیر,jaanib
خلیج,khaleeje
ادھورے,sab gan adhuure  koii gun na puure
ثقاہت,siqaahat
سوفی,suufi
زاویہ مرکزی,zaaviya-e-markazii
غم غلط,gam-galat
ڈالا,dala
کے دور,ke door
تری پٹا,trir-putaa
مناظم,manaazim
پرلانے,per laane
امبا,amba
مچھلیوں,machhlion
جِن,jin
ثقیف,Saqaif
کارگر,kargar
پتنگ چھری,patangchhurii
معصوم,maasum
محفوظ,Mahfooz
چندا ماموں,chandaa-maamuun
کفر,kar
سعی مشکور,sa'ii-e-mashkuur
ترینâziim,tariin
کورا کاغذ,koraa-kaagaz
عائلی,aailii
جبیس,Jabees
شعر خواں,she'r-khvaan
لا محسوس,laa-mahsuus
یا,ho
بہر,bahar
طرب خیز,tarab-khez
غیور,Ghayuur
جماعتوں,jamaa^aton
نسبت بندگی,nisbat-e-bandagii
حوسامالدین,Husamaldin
جودت,Jodet
جس,tarah
پائے,paaye
ايرتھ,earth
جونڈا,jaundaa
اُسی,mutaaliq
سخت,lt sakht
سیوتی,Sivti
چھان بین,chhaan-biin
ٹھمک,thumak
لبی,labii
جھانسنا,jhaansnaa
ادھین,adhiin
نگاہ غیظ,nigaah-e-gaiz
ذی قیمت,zii-qiimat
دومی,duvamii
عقلیت,aqalyiat
حذبی,hazbi
حلہ,halla
نیم خوابی,niim-khvaabii
پسی,pseibbpu
دائب,Daeb
بللی,bilallii
مہرہ,mohrah
فرعون,Faroon
گورنمنٹ اسکول,government-school
زائچہ,zaaechah
دھڑن,dhadan
چنگیل,changel
نروٹھا,narauthaa
رجحان,rujhaan
الیہو,ilaiho
درا,dara
صدکان,Sadkaan
کنڈی,lgnkundi lagaana
پس,wo
کھرپا جالی,khurpaa-jaalii
کرایہ,kiraaya
مالکنی,maaliknii
شیکھارا,shekhpara
العلوم,al-aloom
جھینگا,mchhly
معارک,ma'aarik
فل,fil
سیدہ,sayyada
آوے,aawe
بھک,bhak
ببائ,babaa
درمیانی گوشہ,darmiyaanii-gosha
صحت بخش,sehat-bakhsh
تنبیا,tambiyaa
مدینہ,Madinah
ادق,adaq
جمانا,jamaanaa
جھپ تال,jhap-taal
اسکوئر,square
قبول,qubol
فرزند خاور,farzand-e-khaavar
بزدلانہ,buzdilana
مضبوط,fortified
مواب,muvaab
بوجھے,buujhey
بیریل,Beerial
پیراستہ,paeraastah
کریا کرم,kriyaa-karm
نجدین,najdain
نمائندگی,numaaendahgi
دیجئے!,dijiye
چاکلٹ رنگ,chocolate-rang
زر باف,zar-baafii
بیچنا,bechnaa
نين,nine
عالی نزاد,aalii-nazaad
اصحاب,pahunchayein
سایہ,saae
ییشہ,Yiesha
گاو,gaav
جادوگرنیوں,jadugarniyon
عزالدین,Izuddin
پالوش,paaluush
واقعیت,waaqe^iyat
تاریک دل,taariik-dil
ارنگ,Arang
روبرٹسن,robertson
ذہن,myn btth
آئینۂ,aina
دانواں,daanvaan
بڑی بات,badii baat
تتہرا,tatahraa
میرا,Meera
گروه,ho
کرپز,kurpuz
موتیوں کے مول,motiyon ke mol
خلیفائی,khaliifaaii
ملح,mallaah
ایرہ,Eera
عمل کار,amal-kaar
بیگم,Baigum
مٹکوں,matkon
احمدیہ,ahmadiyya
لاکر,laa kar
آش,aash
ترمیم,tarmim
عادیہ,aadiyya
بہم,ki
دلیہ,dalya
پرواد,piravaad
تاتار,taataar
ناولٹ,novelt
شریف النفس,shariif ul nafs
غساق,gassaaq
نہاں,Nihaan
ویسی,vaisi
نظامیہ,nizamiya
ندبہ,Nudbah
مقطوع,maqtuu'
تھوڑی,thoodi
جلسان,jalsa-e-nishaat
پھڑک پھڑک کر,phadak-phadak kar
ساڑھے,sadhe
دستینہ,Dastina
ڈکوٹا,dikota
پگڑ,paggad
اور,samjhe
اشارت,Asharat
قطعی,qat'ii
کویہ,Kaveh
سرنج,saranjaam
سجدوں,sar sajdon men man badiyon men
تج,tuj
فلک پیما,falak-paimaa
منتشر,muntashar
کتاب,koyi
پردہ ظاہر,parda-e-zaahir
کو,dukh
ول,valvala
عجین,ajiin
بڑا بوڑھا,badaa-buudhaa
غریب الوطن,gariib-ul-vatan
انتقامی,intiqaamii
مونو,mono
ریسرچ,research
سجیہ,sajiyya
معان,Muaan
ناب,naaba
عافیت پسند,aafiyat-pasand
خورد بینی مخلوق,khurdbiinii-makhluuq
ابوالحسنات,abul hasnaat
چکر مکر,chakar-makar
وُڈوو,wodoo
رخیم,Rakhim
روغن,roghan
امانت,Imaanat
ملنی,milnii
سنتری,santarii
زیاں,khrnh
سودا,Suda
پالیہ,paalii honaa
بلوچستان,baluchestan
یلغار,yalgaar
معیار,meyar
عانی,aanii
لگتے,maujon
چانن,Chanan
عبدیت,abdiyat
واثقہ,Wasiqa
قومی شاعر,qaumii-shaa'ir
سلاف,sulaaf
زبوں بخت,zubuun-bakht
اخضع,akhza'
تذکرہ,tazkara
شبد شاستر,shabd-shaastr
تیز پائی,tez-paaii
تجاری,tijaari
احتساس,ihtisaas
دلہام,Dilham
اسٹا,stock-exchange
ماحوان,maahwaan
ان,pindliyon
اکش,aksh
ابتدائی رسوم,ibtidaaii-rusuum
تحلیم,tahliim
لاٹر,later
افشا,ifsha
گلا,gala
پوڑھی,podhii
ازمہ,Azimmah
مجری,majraa
تحمر,tahammur
چاہنا,chaahna
جرسام,jirsaam
سمعی,sam^
جڑی بوٹی,jadii-buutii
جناح,janaah
دل شاد,dil shaad karnaa
کمری گھوڑا,kamarii-ghodaa
خراج,khiraj
پیش کاری,peshkaarii
نوازشات,navaazishaat
ماہ جبیں,maah-jabiin
نفاست,Nafaasat
راسد,Rasid
درہم,dirham
دوستی,ki
ہوئیں,huyi
نرم گامی,narm-gaamii
جھجاؤ,jhajaav
اوار,uvaar
پھب,phab
چندلا,chandlaa
ٹرسٹ,trusti-ship
اٹکلنا,atkalnaa
عروب,Aruub
یار شاطر,yaar-e-shaatir
بنڈراںوالے,bandranwale
نقد ادب,naqd-adab
چلمن ساز,chilman-saaz
آرہ,ara
ملٹری کراس,military-cross
مبالغہ,mubaaligha
ملال,malaal
مطعام,mit'aam
اندر,phook
اسپیودھا,Aspayaodha
ڈنکن,denkan
بتاتی,batati
اروه,Arwah
مکرا,mukraa
خاتون,khatun
خدا خدا,khudaa-khudaa
سانگر,saangaar
کسی پہلو,kisii pahluu
وارث,waarise
شماریات داں,shumaariyaat-daan
سونیا,soniyyaa
نصف اول,nisf-aulaad
عصیان,isyaan
تاثیری,taasiiri
رائج,raij
پھپوندی,phapuundii
توکل,Tawakkal
آراستہ,aarasta
گووڈ,good
امتوں,ummato
کرنگ,kurang
د,d
راحیہ,raahiyya
دنداسہ,dandaasa
اشیا,ashyaa
غرناطہ,gharnata
میر,Mir
لائیڈوکین,lidocaine
قرون اولی,quruun-e-uula
تھیلی,thaeli
نان کور,naanakor
بدلنے,badalney
بلیہ,baliyya
قاری,Qaari
سرمہ بصیرت,surma-e-basiirat
خطابت,khitabat
ڈلاؤ,dalaao
ابنائے,abnaa-e-'ahd
ناطق,Nataq
ٹمٹما,tamtamaa
جھنجی کوڑی,jhanjii-kodii
پوچھیئے,pochiye
مطلب آشنا,matlab-aashnaa
شرما,sharmaa
صالحؑ,ya
نار فارسی,naar-e-faarsii
کتھولک ازم,catholicism
تبرج,Tabarruj
بجھ,nebujh
پہلواں,pahlvan
لیلوفر,Lilofar
طیب,Tayyeb
خوش,se
جلاتا,jilaata
قلدری,Qaldri
تارخانہ,taar-khaana
تسحیر,Tasheer
تبادلے,tabadlay
پرم,Param
بینا,biina
ضابطگی,zaabtigi
اتنا,to
پیروں,prrnpaeron parna
تاڑک,taad kaa taad
السلام,ko
بریکنگ,breaking-news
طیفی,taifii
قیدی بنا,qaidi
وصال کا دن,visaal kaa dan
بے,khnmn bey
ایٹیینے,atiney
کیجیئے,kijiye
دجی,dujaa
نکاح,jab
جعفری,jafri
شہنشاه,shahanshah
نہ,hargiz
سرور کائنات,sarvar-e-kaainaat
ہرات,hiraat
نشیلی,nashiili
متقی,muttaqii
عام,rjhnaam rujhaan
نائٹروسی کاری,nitrosy-kaarii
احفاظ,Ahfaaz
کہنا،,kehna
ہجویات,hajviyaat
قیں قیں,qen-qen
ایڑی,edi
بد دماغ,bad-dimaag
چارا ساز,chaaraa-saaz
میں,rehem55
کٹا,katta
نینشل,national
دھوئیں,dhuwon
متوقع,mutawaqqe^
جھنجھلانا,jhunjhlaanaa
نظیرہ,Nazirah
رنگیں,rangiin
محجم,mahjam
پوچھ کر,puuchh kar
مشک باری,mushk-baarii
تسلیمہ,Taslima
جوذر,jauzar
چھوٹ,chot
خورد نوکا,khurd-nuukaa
چاہتا,to
نبی کاذب,nabii-e-kaazib
دل کی مراد,dil kii muraad
کاشانہ,kaashaana
تہیری,taherii
ناخن شمشیر,naakhun-e-shamshiir
گنجرہ,Ganjra
میتا,miitaa
کروڑہا,karodhaa
پر,gawaah
مختلف المعنی,mukhtalif-ul-maa'nii
کج خلقی,kaj-khulqii
سانولیا,saanvaliyaa
مکانت,makaanat
زیرہ,Zariah
پیر,paeru
رشیدہ,Rasheeda
موثق,muusaq
زنگار فرعونی,zangaar-e-fir'aunii
کریں,khasare
بندے,ko
ہے,sakta
برہم بھوج,brahm-bhoj
جوڑ گھٹاؤ,jod-ghataav
دیوالیہ,diwaaliyah
تخت دار,takht-daar
عمالہ,amaala
ابسط,Absat
گون,guungii
مرفا,marfaa
بیانات,bayanat
مناعت ذاتی,manaa'at-e-zaatii
مکبرالصوت,mukabbirussaut
مزیز,Maziz
قصرھا,qasarha
عطاف,Ataaf
سلسلوں,silsilon
مہتدیٰ,Mohtida
ٹائمز,time
بل,balaa
گپی,gappii
خط بیضوی,khat-e-baizvii
مہیا,samandar
فیصلے,fesle
سوویت,soviet
پردیس,pardeys
باگ گیر,baag-giir
لہیم,lahiim
ترفیہ,tarfiih
جامن,jaaman
اموری,amaurii
کہن,kuhan
امیو,ameo
چٹکل,chutkula
پاترتا,paaturtaa
میخ کوب,miikh-kob
عصرانہ,asraana
اور,tamaam
العتقاد,ul
نشور,Nashoor
تنظیر,Tenzeer
عرصہ دراز,arsa-e-daraaz
ارادت مند,iraadat-mand
خدا گیر,khudaa-giir
آسمان,phatega
نرم کوک,narm-kok
لالم,laalam-laal
جاچت,jaachit
ضاربہ,uruuq-e-zaariba
چار گانی,chaar-gaanii
معجز بیان,mo'jiz-bayaan
بھیجا,unhone
منقتح,Munqateh
تند,tondh
جلودار,jilau-daar
شب دراز,shab-e-daraaz
امام,imaam
مہر,meher
مشرکوں,mushriko
اور,aaeaur
لبریز,labrez
زعفرانی,zaafrani
سوائے,siwaye
چوکھاٹ,chaukhaat
قاسمہ,Qasimah
جاگہ,jaaga
نقش باطل,naqsh-e-baatil
مخروط مائل,makhruut-e-maail
ہریائی,hariyaaii
مسودہ,musawwadah
تسعیف,Tasif
سکندرا,sikandar-e-aa'zam
مشتہرہ,mushtahara
انوسار,anusaar
اورع,aura'
منصوبات,mansuubaat
خوک صحرائی,khuuk-sahraaii
قیام,qaiyam
طیارچی,tayyaarchii
اصداف,Asdaaf
سہ ظلمت,sih-zulmat
برسام,barsaam
یاسمین,yesmanhi
جذباتی,jazbaatii
سدیش,sudesh
لے کر,lekar
البان,albaan
بلوانا,bulwaana
چھونے,chhune
کھونی,khonii
گھر کی مرغی,ghar kii murgii
عبید,obaid
انٹر نیشنل,international
ثانوی,saanvi
ادب داں,adab-daan
خطرے میں ڈالنا,khatre men daalnaa
ہواۓ,hava
جول,jol
نربنس,nirbans
جھجکی,jhijkii
لہوم,Lahum
ی,r hnnhaen
مسک,masak
ہی,dil
ملازم درگاہ سرکار,mulaazim-dargaah-e-sarkaar
عملی کو,amli
چند روزہ,sulh-e-chand-roz
پیاسا,piyaasaa
ساز گار,saazgaar
نیک تر,nek-tar
مندل,mandal
ہیر,hiir
شاہد,Shahid
توقیری,tauqiiri
معتدلہ,mo'tadila
پھانس,phaans
گذر,gazar
کندہ لوہا,kunda-lohaa
اضافت ظرفی,izaafat-e-zarfii
گاتھک,gaathik
چہلہا,chihlahaa
منسوخ,mansuukh
تہ خانہ,tah-khaana
ضروب,zaruub
خوش اختر,Khush Akhtar
نصاریٰ,nasaara
کینیڈین,canadian
رقاصہ,raqqasa
ذخیره,zaqira
چرغد,chargad
ایامے,ayyami
نکو نام,niko-naam
نکتہ پروری,nukta-parvarii
پرچھائیاں,parchhaiyan
حساب,ka
سحر طراز,sehr-taraaz
بٹے,bate
فراغ,faragh
مغاک,magaak
جل ترنگ,jal-tarang
وحیدان,wahidaan
ایکسٹرا,extra
نکار,nakaar
ماورا,maawra
قسری,qasri
ڈالے,tumhe
سنگین چہرہ,sangiin-chehra
ہے؟,hai
وه,jhoot
انپورنا,annapurna
بخت سیاہ,bakht-e-siyaah
پرچارک,parchaarak
عادس,ahd se phirnaa
بھیجتی,bheje
فرقوں,firqo
کر,dhoka
سبکی,subki
مسجد احزاب,masjid-e-ahzaab
لاقح,laaqeh
افضلیت,afzaliyat
ورزشی,varzishii
نسیا,nasyaa
گرست,girastii
منطقی,ntyjhmantaqi natiijah
ایماں,imaan
وحدت,Vahdat
چوتھا کھونٹ,chauthaa-khuunt
بھینگا,bhiingaa
ٹیمیں,teamen
مورو,moro
بدسیر,bad-siyar
چپچپا,chipchipa
بھجوائی,bhijwayi
ان,taala
مانوں,manun
شجاعت مآب,shujaa'at-maaab
نگاشتہ,nigaashta
مشکبار,mushkbar
منصوبہ بندی کمیشن,mansuuba bandii commission
گھڑی کل,ghadii-kal
طبقاتی استحصال,tabqaatii-istihsaal
بھنتا,bhanitaa
اور,jhaao1aur
ٹکیائی,takyaaii
شیر گھورو,sher-ghuuruu
لفظیں,lafzen
دفینوں,dafinon
خیام,khaiyam
مشترکہ قرارداد,mushtarkah qaraar daad
جچا,jacha
وہ,o
قابل استفسار,qaabil e istefsaar
سعیدہ,Saeedeh
حرف تاکید,harf-e-taakiid
فراشی,firaashii
کوہزیمت,ko hazeemat
زیاں گر,ziyaan-gar
صحیح,saahiih
مسوسا,masosaa
پھر,ne
ریپ,reph
اہوا,ahvaa
پشاچ,pishaach
العباد,haqqul-'ibaad
مزاج,mizaj
همینست,hameenast
تختہ بند,takhta-band
ظلمت,zulmat
اوپر,oopar
فوائد,fawaayid
لاغر,laagar
ٹٹہا,titihaa
اجمیل,Ajmel
بت ترسا,but-e-tarsaa
مرزا,Mirzaa
نانگا پربت,naangaa-parbat
آرزوئیں,arzuen
تلخابہ,talkhaaba
آنا پائی سے,aanaa-paaii se
کچھ,jo
سکینہ,Sakina
فرزند,farzandh
معلومات,maloomat
عطا,khrnataa karna
بازی,baazi
ابلا,Ablaa
پاکھری,paakhrii
چکرانہ,chikraanah
مناعت موروثی,manaa'at-e-mauruusii
خزینہ,Khazina
موضوعِ,mauzoo
شیطان رجیم,shaitaan-e-rajiim
کلیمہ,Kalimah
سلجوق,Saljooq
نمک طعام,namak-e-ta'aam
کبود,kabuud
چھوٹھا,chhothaa
سریحہ,Sareeha
بھری,bharii
عاصرہ,aasira
ناحق,naa-haq
پر,its
موٹ,motaapa
نکوٹا,nakotaa
مایہ,maaya
ناٹ مندر,naat-mandir
سیراب گاہ,sairaab-gaah
میزان قیامت,miizaan-e-qayaamat
کمیڈی,kumaidiyaa
بچن,bachan
تسمیم,Tasmeem
ٹپرا,tapraa
جکڑنا,jakadnaa
پامردی,paa-mardii
سیر شدہ,sair-shuda
رصاصی,rasaasii
قوت مردمی,quuwat e mardumi
رزم,Razam
جفا کار,jafaa-kaar
ادھیاری,adhiyaarii
نوبی,nuubii
نوک زباں,nok-e-zabaan
کھرا,khara
بکروں,bakron
داتر,daatr
نزاہت,Nezahat
حتیب,Hatib
ابرش,Abrash
تابندگئ,tabindagi
انبلی,imbilii
شدہ,Shadha
نباط,nabaat
قرطاس,Qartas
للہ,lillah
اداسیوں,udasiyon
کرکرا,kurkura
سکران,sakraan
نفحہ ریز,nafha-rez
نکل بیٹھ,nikal-baith
ذکر اذکار,zikr-azkaar
انکا,inkaar
مانیں,maanein
اباک,abaak
چھینا,ki
جست بازی,jast-baazii
نستعین,nasta'iin
آپکڑے,unhe
اوڑھنا,odhnaa
معتصر,mo'tasir
چابی,chbi
کے,baadh
زہ,zah
خاموش گر,khaamosh-gar
منحرف,munharif
کودنا,kuudna
پرکاشت,prakaashit
توجیہی,taujiihii
الواقع,waqeh
چندرا,Chandraa
گل خندہ,Gul-e-Khanda
مغفرت مآب,magfirat-maaab
بیشک,allah
سمبندھ,khrnsambandh karna
مفرح,Mafreh
یساول,Yasavul
عاقب,Aaqib
دیں،,aur
وصیف,vasiif
اُس,uske
آسرا,Aasra
اغفل,agfal
ہوبہو,hoo bahoo
آنکا,aankaa
دور از اثر,duur-az-asar
میتھن,maithun
شروح,shuruuh
ہیں,hian
علوینا,Alveena
منایاجاتاہے,manaya jata hai
شاباں,Shaabaan
ریاضیات,riyaziyat
پہنچاتی,pahunchaati
مساواتیں,musawaaten
میں,kashtiyon
گابھن,gyabhan
جھرہل,jharhil
سماق,samaaq
شتاب کارانہ,shitaab-kaaraana
رکوع,ruko
سینگ,seng
صغائر,sagaair
ہوگے,honge
لوبیا,lobiyaa
إکلیل,Iklil
دلدری,daliddarii
ورلڈ,world-cup
چوکڑی,chaukdii
چھچھورا پن,chhichhoraa-pan
تدفین,tadfiin
ابھاگ,abhaag
ایجابی,iijaabi
حاسیہ,haasiya
ملول,malool
فقرا,fuqaraa
من موہن پیارا,man-mohan-pyaaraa
آئینہ پوش,aaiina-posh
عشری,ashri
شوق تحقیق,shauq e taehqiiq
عبدوس صبع,Abdus Subooh
پٹ تال,pat-taal
چینی ہڑ,chiinii-had
اکھرنا,akharnaa
منتقلہ,muntaqala
رثیتی,rasiitii
رعایت,na
آفتابدین,Aftabuddin
ٹراکٹر,tracktor
تڑوائی,tudvaaii
مندی آنچ,mandii-aanch
نباتات,nabataat
فعل ضامن,fe'l-e-zaamin
طاعت گاہ,taa'at-gaah
نگاہی,nigaahi
دعا گو,du'aa-go
لاصق,laasiq
غضاریف,gazaariif
لائے,laaye
بعث و نشر,baa's-o-nashr
سایل,saayil
انوق,anoq
جرگہ,jarga
نیر,Nair
خطاوار,khatavar
گردان کبوتر,gardaan-kabuutar
پردہ سوز,parda-soz
تقاصری تعامل,taqaasurii-ta'aamul
پک,pk
ریشہ ریشہ,resha resha
جانے,nikal
نرخ نامہ,narkh-naama
طلائے ناب,tilaa-e-naab
حلک,halak
کھاؤ,khaao
تلے کے تلے,tale ke tale
شاخ زعفران,shaakh-e-zaa'faraan
اٹھیل,athel
غزالہ,Ghazala
حمایت,Himaayat
رواجی,rawaaji
خجلا,khijlaa
سمیٹ,sameith
تاثیر,tasir
پلیٹ,plate
کیے,haan
چرواہے,halvaahii charvaahe ko
تبدیلی,tabdiili
کاٹیے,zabaan kaatiye
ہتھنی,hathni
غزل سرا,gazal-saraa
دورِ حکومت,daur-e-hukumat
نشاب,nishaab
ا نٹر نیشنل,international
مخطر,mukhtir
پالمپٹ,paalam-pat
فرجمند,Farjmand
میسر,samaan
چوزہ باز,chuuza-baaz
ام ہانی,Umm E Hani
گنجانی,gunjaanii
لیول,ailmranx
تالیفات,taaleefaat
وقیع,Waqii
مہین دوز,mahiin-doz
تتمہ,tatimma
روکھے سوکھے,ruukhe-suukhe
زنازن,zanaazan
منڈا,mundaa huaa
بعض,baaz
پھوہڑا,phuuhdaa
صلی,salla
پارٹی سسٹم,party-system
تشریحات,tashriihaat
پایان کار,paayaan-e-kaar
ظہیر,zaheer
قانون اولاد اکبر,qaanuun-e-aulaad-e-akbar
موہوم,mauhuum
تبدیل کرنا,tabdiil karnaa
علیہ,alaihissallaam
موضوع کلام,mauzuu'-kalaam
سماعت,Samaat
لطیفہ غیب,latiifa-e-gaib
مہیہ,muhaiyah
کھیلتا ہے,khelta hai
نے,haq
مچھلی,machli
غلم,ghulaam
نزولی ترتیب,nuzuulii-tartiib
مفرح,mufarrah
طرح,hain
فرمنکم,Farmankam
سامنے,se
کوہان نما,kohaan-numaa
چوں چہاٹ,chuun-chahaat
ناقابل مزاحمت,naa qaabile mazaahimat
گادیلا,gaadiilaa
منتہائی,muntahaaii
خود پرکھ,khud-parakh
خوف,khauf
لحقہ,laahiqah
اسلیخ,isliikh
اچکیو,hichkiyon
سول سرونٹ,civil-servant
فعولن,fa'uulun
ظالم سماج,zaalim samaaj
وفد,wafad
چپچپا,chip chipa
نرآدری,nir-aadarii
دو,dau
معونہ,ma'uuna
منطوق,mantuuq
معجزاتی,mo'jizaatii
شاہ سلطان,Shah Sultan
بڑھیا,budiya
مندانہ,mandaanah
منظر کاری,manzar-kaarii
عتیل,Atteel
چونک,chaunk
شادی,Shadi
کاشی,Kaashi
نغم,nagam
امالہ,Imaala
شہرداد,Shahrdad
کٹائی,kataaii
معرکہ آزما,maa'raka-aazmaa
ضیمران,zaimuraan
جولان گری,jaulaan-garii
دل افروزی,dil-afrozii
ڈونا,dona
سنہالا,sinhala
بیسن,besan
دعمان,Dauman
نائکروم,nichrome
جاننے,wljaanney waala
گاہیں,gahen
مصلحت,maslahat
دربارہ,dobara
ہزاقت,Hizaqat
سکاٹ,scott
صیر,seer
ل,ill
نسیجہ,nasiija
سلیما,sulaimaan-jaah
لانڈی,landi
ایکی,eyki
مانگنا,maangnaa
حق,mein
رفرف,rafraf
پر par,m mhrkh moharrik
بھول بھال,bhuul-bhaal
ضرور,zarur
چمڑائی,chamdaaii
مندوبین,mandoobeen
اورمکہ,aur makkah
متوالی,matvaalii
بھنڈ,bhind
رجذ,rijz
سے,ghaafil
حوالہ جات,hawalajaat
ایریکٹس,erectus
موت کا خوف,maut kaa khauf
سرور,sarware
غنائی شاعر,ginaaii-shaa'ir
مہاجن راج,mahaajan-raaj
کندھ,kandhyaa
ناداشت,naadaasht
لکھاری,lekhak
دیتے,saal
بدعت آئین,bid'at-e-aa'iin
فائده,fayda
جلفش,jilfish
دو,jis
